Title,Category,Price,Rating,Availability,Description,UPC,Number_of_Reviews,Product_URL
The Widow,Mystery,£27.26,Two,In stock,"THE NEW YORK TIMESBESTSELLERFor fans of Gone Girl and The Girl on the Train, an electrifying thriller that will take you into the dark spaces that exist between a husband and a wife.When the police started asking questions, Jean Taylor turned into a different woman. One who enabled her and her husband to carry on, when more bad things began to happen... But that woman’s h THE NEW YORK TIMES BESTSELLERFor fans of Gone Girl and The Girl on the Train, an electrifying thriller that will take you into the dark spaces that exist between a husband and a wife.When the police started asking questions, Jean Taylor turned into a different woman. One who enabled her and her husband to carry on, when more bad things began to happen...   But that woman’s husband died last week. And Jean doesn’t have to be her anymore.   There’s a lot Jean hasn’t said over the years about the crime her husband was suspected of committing. She was too busy being the perfect wife, standing by her man while living with the accusing glares and the anonymous harassment.   Now there’s no reason to stay quiet. There are people who want to hear her story. They want to know what it was like living with that man. She can tell them that there were secrets. There always are in a marriage.   The truth—that’s all anyone wants. But the one lesson Jean has learned in the last few years is that she can make people believe anything… ...more",6159d8b187831770,0,https://books.toscrape.com/catalogue/the-widow_609/index.html
A Paris Apartment,Historical Fiction,£39.01,Four,In stock,"Bienvenue à Paris!When April Vogt's boss tells her about an apartment in the ninth arrondissement that has been discovered after being shuttered for the past seventy years, the Sotheby's continental furniture specialist does not hear the words “dust” or “rats” or “decrepit.” She hears Paris. She hears escape.Once in France, April quickly learns the apartment is not merely Bienvenue à Paris!When April Vogt's boss tells her about an apartment in the ninth arrondissement that has been discovered after being shuttered for the past seventy years, the Sotheby's continental furniture specialist does not hear the words “dust” or “rats” or “decrepit.” She hears Paris. She hears escape.Once in France, April quickly learns the apartment is not merely some rich hoarder's repository. Beneath the cobwebs and stale perfumed air is a goldmine, and not because of the actual gold (or painted ostrich eggs or mounted rhinoceros horns or bronze bathtub). First, there's a portrait by one of the masters of the Belle Epoque, Giovanni Boldini. And then there are letters and journals written by the very woman in the painting, Marthe de Florian. These documents reveal that she was more than a renowned courtesan with enviable decolletage. Suddenly April's quest is no longer about the bureaux plats and Louis-style armchairs that will fetch millions at auction. It's about discovering the story behind this charismatic woman.It's about discovering two women, actually.With the help of a salty (and annoyingly sexy) Parisian solicitor and the courtesan's private diaries, April tries to uncover the many secrets buried in the apartment. As she digs into Marthe's life, April can't help but take a deeper look into her own. Having left behind in the States a cheating husband, a family crisis about to erupt, and a career she's been using as the crutch to simply get by, she feels compelled to sort out her own life too. When the things she left bubbling back home begin to boil over, and Parisian delicacies beyond flaky pâtisseries tempt her better judgment, April knows that both she and Marthe deserve happy finales.Whether accompanied by croissants or champagne, this delectable debut novel depicts the Paris of the Belle Epoque and the present day with vibrant and stunning allure. Based on historical events, Michelle Gable's A Paris Apartment will entertain and inspire, as readers embrace the struggles and successes of two very unforgettable women. ...more",63343e287971bb0c,0,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html
Boar Island (Anna Pigeon #19),Mystery,£59.48,Three,In stock,"Bringing you a gripping mystery, Nevada Barr transports you to the wild and dangerous landscapes of America's National Parks and is sure to appeal if you like Sue Grafton and Janet Evanovich.The eighteenth sensational crime novel from New York Times bestselling author Nevada Barr featuring fearless park ranger Anna Pigeon as she battles to solve a heinous crime set amidst Bringing you a gripping mystery, Nevada Barr transports you to the wild and dangerous landscapes of America's National Parks and is sure to appeal if you like Sue Grafton and Janet Evanovich.The eighteenth sensational crime novel from New York Times bestselling author Nevada Barr featuring fearless park ranger Anna Pigeon as she battles to solve a heinous crime set amidst the wild and dangerous landscape of a US National Park. ...more",49b24c6a41b82bd2,0,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html
Can You Keep a Secret? (Fear Street Relaunch #4),Horror,£48.64,One,In stock,"How many nightmares begin in the Fear Street Woods?Eddie and Emma are high school sweethearts from the wrong side of the tracks. Looking for an escape from their dreary lives, they embark on an overnight camping trip with four friends in the Fear Street Woods.As Eddie carves a heart in a tree, he and Emma make a shocking discovery. It’s a discovery that will lead to the en How many nightmares begin in the Fear Street Woods?Eddie and Emma are high school sweethearts from the wrong side of the tracks. Looking for an escape from their dreary lives, they embark on an overnight camping trip with four friends in the Fear Street Woods.As Eddie carves a heart in a tree, he and Emma make a shocking discovery. It’s a discovery that will lead to the end of friendships—and to murder.Meanwhile, Emmy is having strange, terrifying dreams about wolves. Are her dreams connected somehow to the real wolf attacks that plague the town of Shadyside?Emmy, it seems, is about to make a horrifying discovery about herself… ...more",d069086944f2e330,0,https://books.toscrape.com/catalogue/can-you-keep-a-secret-fear-street-relaunch-4_614/index.html
Dirty (Dive Bar #1),Romance,£40.83,Four,In stock,"The last thing Vaughan Hewson expects to find when he returns to his childhood home is a broken hearted bride in his shower, let alone the drama and chaos that comes with her.Lydia Green doesn't know whether to burn down the church or sit and cry in a corner. Discovering the love of your life is having an affair on your wedding day is bad enough. Finding out it's with his The last thing Vaughan Hewson expects to find when he returns to his childhood home is a broken hearted bride in his shower, let alone the drama and chaos that comes with her.Lydia Green doesn't know whether to burn down the church or sit and cry in a corner. Discovering the love of your life is having an affair on your wedding day is bad enough. Finding out it's with his best man is another thing all together. She narrowly escapes tying the knot and meets Vaughan only hours later.Vaughan is the exact opposite of the picture perfect, respected businessman she thought she'd marry. This former musician-turned-bartender is rough around the edges and unsettled. But she already tried Mr. Right and discovered he's all wrong-maybe it's time to give Mr. Right Now a chance.After all, what's wrong with getting dirty? ...more",df7e628bad5782b4,0,https://books.toscrape.com/catalogue/dirty-dive-bar-1_615/index.html
Equal Is Unfair: America's Misguided Fight Against Income Inequality,Politics,£56.86,One,In stock,"We’ve all heard that the American Dream is vanishing, and that the cause is rising income inequality. The rich are getting richer by rigging the system in their favor, leaving the rest of us to struggle just to keep our heads above water. To save the American Dream, we’re told that we need to fight inequality through tax hikes, wealth redistribution schemes, and a far high We’ve all heard that the American Dream is vanishing, and that the cause is rising income inequality. The rich are getting richer by rigging the system in their favor, leaving the rest of us to struggle just to keep our heads above water. To save the American Dream, we’re told that we need to fight inequality through tax hikes, wealth redistribution schemes, and a far higher minimum wage.But what if that narrative is wrong? What if the real threat to the American Dream isn’t rising income inequality—but an all-out war on success?In Equal is Unfair, a timely and thought-provoking work, Don Watkins and Yaron Brook reveal that almost everything we’ve been taught about inequality is wrong. You’ll discover:• why successful CEOs make so much money—and deserve to• how the minimum wage hurts the very people it claims to help• why middle-class stagnation is a myth• how the little-known history of Sweden reveals the dangers of forced equality• the disturbing philosophy behind Obama’s economic agenda.The critics of inequality are right about one thing: the American Dream is under attack. But instead of fighting to make America a place where anyone can achieve success, they are fighting to tear down those who already have. The real key to making America a freer, fairer, more prosperous nation is to protect and celebrate the pursuit of success—not pull down the high fliers in the name of equality. ...more",3968e3fbf4695d7c,0,https://books.toscrape.com/catalogue/equal-is-unfair-americas-misguided-fight-against-income-inequality_617/index.html
Eleanor & Park,Default,£56.51,Five,In stock,"Two misfits.One extraordinary love.Eleanor... Red hair, wrong clothes. Standing behind him until he turns his head. Lying beside him until he wakes up. Making everyone else seem drabber and flatter and never good enough...Eleanor.Park... He knows she'll love a song before he plays it for her. He laughs at her jokes before she ever gets to the punch line. There's a place on Two misfits.One extraordinary love.Eleanor... Red hair, wrong clothes. Standing behind him until he turns his head. Lying beside him until he wakes up. Making everyone else seem drabber and flatter and never good enough...Eleanor.Park... He knows she'll love a song before he plays it for her. He laughs at her jokes before she ever gets to the punch line. There's a place on his chest, just below his throat, that makes her want to keep promises...Park.Set over the course of one school year, this is the story of two star-crossed sixteen-year-olds—smart enough to know that first love almost never lasts, but brave and desperate enough to try. ...more",6983328f15506cb9,0,https://books.toscrape.com/catalogue/eleanor-park_616/index.html
Everyday Italian: 125 Simple and Delicious Recipes,Food and Drink,£20.10,Five,In stock,"In her hit Food Network show Everyday Italian, Giada De Laurentiis shows you how to cook delicious, beautiful food in a flash. And here, in her long-awaited first book, she does the same—helps you put a fabulous dinner on the table tonight, for friends or just for the kids, with a minimum of fuss and a maximum of flavor. She makes it all look easy, because it is. Everyday In her hit Food Network show Everyday Italian, Giada De Laurentiis shows you how to cook delicious, beautiful food in a flash. And here, in her long-awaited first book, she does the same—helps you put a fabulous dinner on the table tonight, for friends or just for the kids, with a minimum of fuss and a maximum of flavor. She makes it all look easy, because it is. Everyday Italian is true to its title: the fresh, simple recipes are incredibly quick and accessible, and also utterly mouth-watering—perfect for everyday cooking. And the book is focused on the real-life considerations of what you actually have in your refrigerator and pantry (no mail-order ingredients here) and what you’re in the mood for—whether a simply sauced pasta or a hearty family-friendly roast, these great recipes cover every contingency. So, for example, you’ll find dishes that you can make solely from pantry ingredients, or those that transform lowly leftovers into exquisite entrées (including brilliant ideas for leftover pasta), and those that satisfy your yearning to have something sweet baking in the oven. There are 7 ways to make red sauce more interesting, 6 different preparations of the classic cutlet, 5 perfect pestos, 4 creative uses for prosciutto, 3 variations on basic polenta, 2 great steaks, and 1 sublime chocolate tiramisù—plus 100 other recipes that turn everyday ingredients into speedy but special dinners.What’s more, Everyday Italian is organized according to what type of food you want tonight—whether a soul-warming stew for Sunday supper, a quick sauté for a weeknight, or a baked pasta for potluck. These categories will help you figure out what to cook in an instant, with such choices as fresh-from-the-pantry appetizers, sauceless pastas, everyday roasts, and stuffed vegetables—whatever you’re in the mood for, you’ll be able to find a simple, delicious recipe for it here. That’s the beauty of Italian home cooking, and that’s what Giada De Laurentiis offers here—the essential recipes to make a great Italian dinner. Tonight. ...more",76319fe9d8b465a3,0,https://books.toscrape.com/catalogue/everyday-italian-125-simple-and-delicious-recipes_618/index.html
Furiously Happy: A Funny Book About Horrible Things,Nonfiction,£41.46,Four,In stock,"In LET'S PRETEND THIS NEVER HAPPENED, Jenny Lawson baffled readers with stories about growing up the daughter of a taxidermist. In her new book, FURIOUSLY HAPPY, Jenny explores her lifelong battle with mental illness. A hysterical, ridiculous book about crippling depression and anxiety? That sounds like a terrible idea. And terrible ideas are what Jenny does best.According In LET'S PRETEND THIS NEVER HAPPENED, Jenny Lawson baffled readers with stories about growing up the daughter of a taxidermist. In her new book, FURIOUSLY HAPPY, Jenny explores her lifelong battle with mental illness. A hysterical, ridiculous book about crippling depression and anxiety? That sounds like a terrible idea. And terrible ideas are what Jenny does best.According to Jenny: ""Some people might think that being 'furiously happy' is just an excuse to be stupid and irresponsible and invite a herd of kangaroos over to your house without telling your husband first because you suspect he would say no since he's never particularly liked kangaroos. And that would be ridiculous because no one would invite a herd of kangaroos into their house. Two is the limit. I speak from personal experience. My husband says that none is the new limit. I say he should have been clearer about that before I rented all those kangaroos.""""Most of my favorite people are dangerously fucked-up but you'd never guess because we've learned to bare it so honestly that it becomes the new normal. Like John Hughes wrote in The Breakfast Club, 'We're all pretty bizarre. Some of us are just better at hiding it.' Except go back and cross out the word 'hiding.'""Jenny's first book, LET'S PRETEND THIS NEVER HAPPENED, was ostensibly about family, but deep down it was about celebrating your own weirdness. FURIOUSLY HAPPY is a book about mental illness, but under the surface it's about embracing joy in fantastic and outrageous ways-and who doesn't need a bit more of that? ...more",c6a29d6df8de968c,0,https://books.toscrape.com/catalogue/furiously-happy-a-funny-book-about-horrible-things_619/index.html
Off the Hook (Fishing for Trouble #1),Romance,£47.67,Three,In stock,"Welcome to The Buoys, a West Coast haven where love comes in with the tide. Perfect for readers of Jill Shalvis and Susan Mallery, the Fishing for Trouble series features three unforgettable brothers—each of whom is a great catch.Major league pitcher Liam O'Donnell knows his best days are probably behind him, but that doesn't mean he's ready to retire and become a fishing Welcome to The Buoys, a West Coast haven where love comes in with the tide. Perfect for readers of Jill Shalvis and Susan Mallery, the Fishing for Trouble series features three unforgettable brothers—each of whom is a great catch.Major league pitcher Liam O'Donnell knows his best days are probably behind him, but that doesn't mean he's ready to retire and become a fishing guide. Still, after all the time he's spent chasing his dreams, he owes it to his brothers to pull his weight around the lodge. The Buoys is their father's legacy, and they can't let some developer take it from them. The one snag Liam isn't counting on is a blast from the past: his ex-wife.The moment Kate Hadley steps out of the seaplane, she knows this assignment is going to be trickier than she thought. She has to persuade the owners to sell—and one of them is Liam O'Donnell. Ten years ago, she made the biggest mistake of her life when she married Liam during a fling in Vegas. Now he's her only lifeline in the middle of nowhere. Kate's trying to keep things cool, but Liam just reminds her of the scorching few nights they spent together—and tempts her to make new memories that are just as steamy as the old. ...more",b783ce08802cd1d1,0,https://books.toscrape.com/catalogue/off-the-hook-fishing-for-trouble-1_601/index.html
